Country,Country Code,Continent,Land area,Population,Population growth,GDP per capita,Income Group,Industry,Life expectancy,Birth rate,Death rate
Afghanistan,AFG,Asia,652230.00,40099462.00,2.851357654,355.78,Low Income,Manufacturing,61.98,35.84,7.34
Albania,ALB,Europe,27400.00,2811666.00,-0.926918062,6377.20,Upper middle income,Manufacturing,76.46,10.24,11.33
Algeria,DZA,Africa,2381741.00,44177969.00,1.657703201,3700.31,Lower middle income,Manufacturing,76.38,21.52,4.55
American Samoa,ASM,North America,200.00,45035.00,-2.530170926,16653.71,Low Income,Food Production,72.99,16.02,5.27
Andorra,AND,Europe,470.00,79034.00,1.702288225,42072.32,Low Income,Tourism and Hospitality,83.5,6.9,6.3
Angola,AGO,Africa,1246700.00,34503774.00,3.166029862,1927.47,Lower middle income,Oil and Petroleum,61.64,38.81,8.01
Antigua and Barbuda,ATG,North America,440.00,93219.00,0.597151595,17178.54,High income,Tourism and Hospitality,78.5,12.12,6.37
Argentina,ARG,South America,2736690.00,45808747.00,0.947490959,10650.86,Upper middle income,Manufacturing,75.39,13.9,8.96
Armenia,ARM,Europe,28470.00,2790974.00,-0.522963243,4972.78,Upper middle income,Manufacturing,72.04,12.05,13.01
Aruba,ABW,North America,180.00,106537.00,-0.045044623,29127.76,High income,Tourism and Hospitality,74.63,7.19,11.24
Australia,AUS,Oceania,7692020.00,25685412.00,0.140895083,60697.25,High income,Hospital and Health Care,83.3,12.1,6.7
Austria,AUT,Europe,82520.00,8955797.00,0.435671684,53517.89,High income,Accommodation Services,81.24,9.6,10.3
Azerbaijan,AZE,Europe,82650.00,10137750.00,0.441197736,5408.05,Upper middle income,"Technology, Information and Media",69.37,11.1,7.6
"Bahamas, The",BHS,North America,10010.00,407906.00,0.352416997,28260.43,High income,Tourism and Hospitality,71.6,11.45,8.99
Bahrain,BHR,Asia,790.00,1463265.00,-0.96602484,26850.00,High income,Oil and Petroleum,78.76,11.93,2.48
Bangladesh,BGD,Asia,130170.00,169356251.00,1.149318476,2457.92,Lower middle income,"Technology, Information and Media",72.38,17.82,5.68
Barbados,BRB,North America,430.00,281200.00,0.180461454,17507.47,High income,Tourism and Hospitality,77.57,10.83,9.01
Belarus,BLR,Europe,202950.00,9302585.00,-0.828232721,7489.72,Upper middle income,IT Services and IT Consulting,72.37,9.28,16.54
Belgium,BEL,Europe,30280.00,11586195.00,0.411601997,51850.40,High income,Construction,81.89,10.2,9.7
Belize,BLZ,North America,22810.00,400031.00,1.285629921,6060.97,Upper middle income,Tourism and Hospitality,70.47,17.98,6.35
Benin,BEN,Africa,112760.00,12996895.00,2.759705179,1360.91,Lower middle income,Agriculture and Food Services,59.82,36.61,9.43
Bermuda,BMU,Europe,54.00,63764.00,-0.202104145,111774.67,High income,Tourism and Hospitality,79.28,7.7,11.3
Bhutan,BTN,Asia,38140.00,777486.00,0.642586173,3560.20,Low Income,Manufacturing,71.82,12.48,6.48
Bolivia,BOL,South America,1083300.00,12079472.00,1.193486719,3345.02,Lower middle income,Mining and Minerals,63.63,21.84,9.95
Bosnia and Herzegovina,BIH,Europe,51200.00,3270943.00,-1.440652596,7230.20,Upper middle income,Manufacturing,75.3,8.42,15.71
Botswana,BWA,Africa,566730.00,2588423.00,1.636742755,7238.80,Upper middle income,Mining and Minerals,61.14,23.58,9.46
Brazil,BRA,South America,8358140.00,214326223.00,0.528590453,7696.78,Upper middle income,Manufacturing,72.75,12.88,8.33
British Virgin Islands,VGB,Europe,150.00,31122.00,0.683520845,34216.00,Low Income,Tourism and Hospitality,74.49,7.63,7.61
Brunei Darussalam,BRN,Asia,5270.00,445373.00,0.822461682,31448.91,High income,Oil and Petroleum,74.64,13.8,5.21
Bulgaria,BGR,Europe,108560.00,6877743.00,-0.814846472,12219.34,High income,Manufacturing,71.51,8.5,21.7
Burkina Faso,BFA,Africa,273600.00,22100683.00,2.650375915,888.78,Low income,Agriculture and Food Services,59.27,35.54,8.96
Burundi,BDI,Africa,25680.00,12551213.00,2.672478462,221.16,Low income,Manufacturing,61.66,34.84,7.47
Cabo Verde,CPV,Africa,4030.00,587925.00,0.902988883,3398.17,Lower middle income,Tourism and Hospitality,74.05,16.95,6.03
Cambodia,KHM,Asia,176520.00,16589023.00,1.165135849,1625.24,Lower middle income,Tourism and Hospitality,69.58,19.33,6.84
Cameroon,CMR,Africa,472710.00,27198628.00,2.635819406,1654.26,Lower middle income,Oil and Petroleum,60.33,34.94,8.58
Canada,CAN,North America,8788700.00,38226498.00,0.575421916,52515.20,High income,Manufacturing,82.6,9.6,7.8
Cayman Islands,CYM,Europe,240.00,68136.00,1.218203729,88475.60,Low Income,Tourism and Hospitality,82.19,12.4,4
Central African Republic,CAF,Africa,622980.00,5457154.00,2.113637226,461.14,Low income,Mining and Minerals,53.9,42.68,11.39
Chad,TCD,Africa,1259200.00,17179740.00,3.163887505,685.69,Low income,Oil and Petroleum,52.53,43.36,12.5
Channel Islands,CHI,Europe,198.00,172683.00,0.913338674,67960.73,Low Income,Financial Services,81.23,10.12,8.45
Chile,CHL,South America,743532.00,19493184.00,0.994344898,16240.61,High income,Manufacturing,78.94,11.79,7.43
China,CHN,Asia,9388210.00,1412360000.00,0.0892522,12617.51,High income,Wholesale,78.21,7.52,7.18
Colombia,COL,South America,1109500.00,51516562.00,1.143820916,6182.71,Upper middle income,Manufacturing,72.83,14.2,7.74
Comoros,COM,Africa,1861.00,821625.00,1.899440995,1577.47,Lower middle income,Agriculture and Food Services,63.42,29.4,8.72
"Congo, Dem. Rep.",COD,Africa,2267050.00,95894118.00,3.22252816,576.97,Low income,Mining and Minerals,59.19,42.05,9.7
"Congo, Rep.",COG,Africa,341500.00,5835806.00,2.316488253,2540.47,Lower middle income,Mining and Minerals,63.52,30.69,7.06
Costa Rica,CRI,North America,51060.00,5153957.00,0.600406861,12604.05,High income,Business Consulting and Services,77.02,11.87,7.19
Cote d'Ivoire,CIV,Africa,318000.00,27478249.00,2.45530301,2613.38,Lower middle income,Agriculture and Food Services,58.6,33.93,9
Croatia,HRV,Europe,55960.00,3879000.00,-4.256648902,17809.03,High income,Manufacturing,76.42,9.4,16.2
Cuba,CUB,North America,103800.00,11256372.00,-0.393012542,56495.85,Low Income,Manufacturing,73.68,8.92,14.65
Curacao,CUW,South America,444.00,152369.00,-1.677791247,17980.00,Low Income,Tourism and Hospitality,78.02,8.6,11.1
Cyprus,CYP,Europe,9240.00,1244188.00,0.53599943,32745.84,High income,"Technology, Information and Media",81.2,10.31,7.26
Czechia,CZE,Europe,77186.83,10505772.00,-1.81187141,26822.51,High income,Manufacturing,77.37,10.6,13.3
Denmark,DNK,Europe,40000.00,5856733.00,0.433414489,69268.65,High income,Manufacturing,81.4,10.8,9.8
Djibouti,DJI,Africa,23180.00,1105557.00,1.40284751,3062.55,Lower middle income,Logistics,62.31,22.21,9.15
Dominica,DMA,North America,750.00,72412.00,0.577535935,7668.16,Upper middle income,Agriculture and Food Services,72.81,13.33,8.99
Dominican Republic,DOM,North America,47531.00,11117873.00,1.068926667,8476.75,Upper middle income,Manufacturing,72.62,18.43,6.68
Ecuador,ECU,South America,248360.00,17797737.00,1.182063375,5965.13,Upper middle income,Manufacturing,73.67,16.82,6.72
"Egypt, Arab Rep.",EGY,Africa,995450.00,109262178.00,1.658383679,3886.72,Upper middle income,Textiles and Food Production,70.22,22.56,6.33
