Rooms,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount
3,1602500.0,7.8,3.0,1.0,1.0,405.0,102.0,1930.0,-37.8448,145.071,8920.0
4,2950000.0,9.0,4.0,2.0,3.0,812.0,173.0,1927.0,-37.8323,145.0842,3265.0
3,1110000.0,13.0,3.0,1.0,2.0,692.0,164.0,1940.0,-37.9263,145.04,6795.0
3,780000.0,13.9,3.0,2.0,2.0,421.0,126.0,1950.0,-37.9168,145.0809,10969.0
4,1340000.0,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,6567.0
3,1337000.0,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,-37.8685,145.0786,3052.0
3,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0
2,636000.0,13.1,2.0,1.0,1.0,151.0,82.0,1970.0,-37.8234,145.1235,4605.0
4,2504000.0,10.7,4.0,2.0,2.0,674.0,183.0,1950.0,-37.9022,145.0125,6938.0
4,1670000.0,13.1,4.0,4.0,4.0,707.0,162.0,1926.0,-37.8166,145.1354,4605.0
2,645000.0,13.1,2.0,1.0,1.0,140.0,81.0,1965.0,-37.8271,145.1299,4605.0
2,735000.0,5.9,2.0,1.0,2.0,120.0,109.0,2004.0,-37.7659,144.9487,7082.0
5,2740000.0,7.8,4.0,2.0,2.0,643.0,363.0,2005.0,-37.8421,145.0719,8920.0
4,950000.0,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,-37.7778,144.9131,6567.0
4,1880000.0,11.4,3.0,2.0,3.0,932.0,270.0,1970.0,-37.8975,145.0478,7822.0
2,580000.0,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,5301.0
2,1075000.0,12.2,2.0,1.0,2.0,695.0,114.0,1950.0,-37.8694,145.0944,2894.0
3,1266000.0,11.2,3.0,1.0,2.0,277.0,116.0,1950.0,-37.9268,144.991,10579.0
3,1338000.0,13.9,3.0,2.0,2.0,610.0,177.0,1970.0,-37.9231,145.066,10969.0
4,1670000.0,13.1,4.0,2.0,2.0,590.0,231.0,1924.0,-37.8274,145.1242,4605.0
4,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0
2,967500.0,11.4,3.0,1.0,2.0,299.0,115.0,1930.0,-37.8973,145.053,7822.0
3,850000.0,10.5,3.0,1.0,1.0,593.0,118.0,1970.0,-37.7677,144.8674,4502.0
4,1325000.0,13.9,4.0,4.0,2.0,363.0,265.0,2012.0,-37.9116,145.0686,10969.0
3,1460000.0,9.3,3.0,1.0,2.0,451.0,121.0,1960.0,-37.8874,145.019,5051.0
4,2600000.0,7.8,3.0,2.0,2.0,600.0,232.0,1897.0,-37.8237,145.0638,8920.0
4,1247000.0,13.0,4.0,2.0,3.0,354.0,255.0,2008.0,-37.9326,145.0441,6795.0
3,970000.0,13.9,3.0,2.0,2.0,267.0,156.0,2000.0,-37.9176,145.0566,10969.0
4,1433500.0,13.9,4.0,1.0,1.0,725.0,186.0,1950.0,-37.9289,145.0502,10969.0
2,550000.0,8.9,2.0,1.0,1.0,806.0,78.0,1960.0,-37.8852,145.024,2379.0
3,1710000.0,10.7,4.0,3.0,2.0,435.0,228.0,1915.0,-37.91,145.0113,6938.0
3,683000.0,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,5132.0
4,2650000.0,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,-37.8669,145.0767,3052.0
